value_set_name,value_code,display_name,description,sort_order,valid_from,valid_to,active
outcome_type,withdrawn,Withdrawn,Candidacy withdrawn,6,,,True
outcome_type,deceased,Deceased,Candidate deceased,7,,,True
outcome_type,not_elected,Not Elected,Not elected,8,,,True
participation_measure,enrolment,Enrolment,Enrolled electors,1,,,True
participation_measure,formal_votes,Formal Votes,Formal votes,2,,,True
participation_measure,informal_votes,Informal Votes,Informal votes,3,,,True
participation_measure,total_votes,Total Votes,Total votes admitted,4,,,True
participation_measure,turnout,Turnout,Turnout count,5,,,True
participation_measure,turnout_percentage,Turnout Percentage,Turnout percentage,6,,,True
participation_measure,informality_percentage,Informality Percentage,Informality percentage,7,,,True
participation_measure,ballots_issued,Ballots Issued,Ballots issued,8,,,True
participation_measure,ballots_received,Ballots Received,Ballots received,9,,,True
publication_status,unpublished,Unpublished,Not publicly released,1,,,True
publication_status,progressive,Progressive,Progressive election-night or count update,2,,,True
publication_status,provisional,Provisional,Provisional official result,3,,,True
publication_status,final,Final,Final official result,4,,,True
publication_status,amended,Amended,Corrected official publication,5,,,True
publication_status,superseded,Superseded,Replaced publication,6,,,True
record_status,active,Active,Active record,1,,,True
record_status,quarantined,Quarantined,Held from authoritative use,2,,,True
record_status,superseded,Superseded,Replaced by a later record,3,,,True
record_status,withdrawn,Withdrawn,Withdrawn by the authority or Politica governance,4,,,True
record_status,deleted_at_source,Deleted At Source,No longer present at the source,5,,,True
reporting_unit_type,polling_place,Polling Place,Election-day polling place,1,,,True
reporting_unit_type,vote_centre,Vote Centre,General vote centre,2,,,True
reporting_unit_type,early_centre,Early Centre,Early voting centre,3,,,True
reporting_unit_type,remote_team,Remote Team,Remote polling team,4,,,True
reporting_unit_type,mobile_team,Mobile Team,Mobile polling team,5,,,True
reporting_unit_type,declaration_category,Declaration Category,Aggregate declaration category,6,,,True
reporting_unit_type,district_total,District Total,District or constituency total,7,,,True
reporting_unit_type,region_total,Region Total,Region total,8,,,True
reporting_unit_type,state_total,State Total,State or territory total,9,,,True
reporting_unit_type,national_total,National Total,National aggregate total,10,,,True
result_measure,votes,Votes,Vote count,1,,,True
result_measure,vote_share,Vote Share,Percentage share,2,,,True
result_measure,swing,Swing,Percentage-point movement,3,,,True
result_measure,papers,Papers,Ballot-paper count,4,,,True
result_measure,transfer_value,Transfer Value,Transfer value,5,,,True
result_measure,margin_votes,Margin Votes,Margin in votes,6,,,True
result_measure,margin_percentage,Margin Percentage,Margin in percentage points,7,,,True
result_type,first_preference,First Preference,First-preference result,1,,,True
result_type,primary,Primary,Primary vote result,2,,,True
result_type,tcp,Tcp,Two-candidate-preferred result,3,,,True
result_type,tpp,Tpp,Two-party-preferred result,4,,,True
result_type,final_two_candidate,Final Two Candidate,Final-two-candidate result,5,,,True
result_type,final_two_party,Final Two Party,Final-two-party result,6,,,True
result_type,preference_transfer,Preference Transfer,Preference transfer,7,,,True
result_type,group_total,Group Total,Ballot-group total,8,,,True
result_type,party_total,Party Total,Party total,9,,,True
result_type,contest_total,Contest Total,Contest total,10,,,True
result_type,ticket_vote,Ticket Vote,Above-the-line group voting ticket vote,11,,,True
result_type,non_ticket_vote,Non Ticket Vote,Formal vote cast without using a group voting ticket,12,,,True
subject_type,candidacy,Candidacy,Candidate in a contest,1,,,True
subject_type,ballot_group,Ballot Group,Ballot group,2,,,True
subject_type,party,Party,Canonical party,3,,,True
subject_type,question_option,Question Option,Referendum or plebiscite option,4,,,True
subject_type,contest,Contest,Entire contest,5,,,True
subject_type,source_group,Source Group,Authority-defined aggregate group retained without an inferred canonical-party mapping,6,,,True
value_basis,official_reported,Official Reported,Value directly published by an authority,1,,,True
value_basis,official_calculated,Official Calculated,Value calculated and published by an authority,2,,,True
value_basis,politica_calculated,Politica Calculated,Reproducible Politica calculation,3,,,True
value_basis,transcribed,Transcribed,Manually transcribed official value,4,,,True
value_basis,imputed,Imputed,Modelled or inferred value,5,,,True
value_status,reported,Reported,A value was published,1,,,True
value_status,not_applicable,Not Applicable,Measure does not apply,2,,,True
value_status,not_published,Not Published,Authority did not publish the measure,3,,,True
value_status,not_collected,Not Collected,Authority did not collect the measure,4,,,True
value_status,suppressed,Suppressed,Authority suppressed the value,5,,,True
value_status,pending,Pending,Awaiting a later official publication,6,,,True
value_status,parse_error,Parse Error,Source value could not be parsed,7,,,True
vote_type,ordinary,Ordinary,Ordinary or election-day vote,1,,,True
vote_type,absent,Absent,Absent vote,2,,,True
vote_type,postal,Postal,Postal vote,3,,,True
vote_type,early,Early,Early or pre-poll vote,4,,,True
vote_type,provisional,Provisional,Provisional vote,5,,,True
vote_type,declaration,Declaration,Declaration vote,6,,,True
vote_type,mobile,Mobile,Mobile polling vote,7,,,True
vote_type,telephone,Telephone,Telephone-assisted vote,8,,,True
vote_type,interstate,Interstate,Interstate vote,9,,,True
vote_type,overseas,Overseas,Overseas vote,10,,,True
vote_type,total,Total,Aggregate total,11,,,True
vote_type,authority_specific,Authority Specific,Authority-specific class retained with source label,12,,,True
