year,source_key,source_role,authority,chamber,family,acquisition_type,url,destination,required,notes
1901,aph_house_division_statistics,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/DivisionStatistics?divisionName={division}&year=1901&electionId=202,data/raw/aph_handbook/1901/aph_house_division_statistics__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1901,aph_house_first_preferences,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/FirstPreferenceCount?divisionName={division}&year=1901&electionId=202,data/raw/aph_handbook/1901/aph_house_first_preferences__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1901,aph_house_first_preferences_vote_type,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/FirstPreferencesByVoteType?divisionName={division}&year=1901&electionId=202,data/raw/aph_handbook/1901/aph_house_first_preferences_vote_type__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1901,aph_house_polling_places,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/PollingPlaces?divisionName={division}&year=1901&electionId=202,data/raw/aph_handbook/1901/aph_house_polling_places__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1901,aph_house_tcp,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/TwoCandidatePreferred?divisionName={division}&year=1901&electionId=202,data/raw/aph_handbook/1901/aph_house_tcp__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1901,aph_senate_by_division,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByDivision?division={division}&year=1901,data/raw/aph_handbook/1901/aph_senate_by_division__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1901,aph_house_first_preferences_polling_place,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/FirstPreferencesByPollingPlace?pollingPlace={polling_place}&division={division}&year=1901&electionId=202,data/raw/aph_handbook/1901/aph_house_first_preferences_polling_place__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1901,aph_house_tcp_polling_place,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/TwoCandidatePreferredByPollingPlace?pollingPlace={polling_place}&division={division}&year=1901&electionId=202,data/raw/aph_handbook/1901/aph_house_tcp_polling_place__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1901,aph_senate_polling_place,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByPollingPlace?pollingPlace={polling_place}&division={division}&year=1901&electionId=202,data/raw/aph_handbook/1901/aph_senate_polling_place__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1903,aph_election,primary,"Parliament of Australia, Parliamentary Handbook",both,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=203,data/raw/aph_handbook/1903/aph_election.json,True,
1903,aph_house_candidates,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/Candidates?electionId=203,data/raw/aph_handbook/1903/aph_house_candidates.json,True,
1903,aph_house_divisions,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/Divisions?state=&year=1903,data/raw/aph_handbook/1903/aph_house_divisions.json,True,
1903,aph_house_elected,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/MembersElected?year=1903,data/raw/aph_handbook/1903/aph_house_elected.json,True,
1903,aph_senate_candidates,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/SenateCandidates?year=1903,data/raw/aph_handbook/1903/aph_senate_candidates.json,True,
1903,aph_senate_elected,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/SenatorsElected?year=1903,data/raw/aph_handbook/1903/aph_senate_elected.json,True,
1903,aph_senate_state_statistics,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateStateStatistics?state={state}&year=1903,data/raw/aph_handbook/1903/aph_senate_state_statistics__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1903,aph_senate_by_candidate,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByCandidate?state={state}&year=1903,data/raw/aph_handbook/1903/aph_senate_by_candidate__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1903,aph_senate_by_group,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByGroup?state={state}&year=1903,data/raw/aph_handbook/1903/aph_senate_by_group__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1903,aph_senate_group_quotas,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateGroupQuotas?state={state}&year=1903,data/raw/aph_handbook/1903/aph_senate_group_quotas__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1903,aph_house_division_statistics,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/DivisionStatistics?divisionName={division}&year=1903&electionId=203,data/raw/aph_handbook/1903/aph_house_division_statistics__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1903,aph_house_first_preferences,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/FirstPreferenceCount?divisionName={division}&year=1903&electionId=203,data/raw/aph_handbook/1903/aph_house_first_preferences__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1903,aph_house_first_preferences_vote_type,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/FirstPreferencesByVoteType?divisionName={division}&year=1903&electionId=203,data/raw/aph_handbook/1903/aph_house_first_preferences_vote_type__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1903,aph_house_polling_places,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/PollingPlaces?divisionName={division}&year=1903&electionId=203,data/raw/aph_handbook/1903/aph_house_polling_places__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1903,aph_house_tcp,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/TwoCandidatePreferred?divisionName={division}&year=1903&electionId=203,data/raw/aph_handbook/1903/aph_house_tcp__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1903,aph_senate_by_division,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByDivision?division={division}&year=1903,data/raw/aph_handbook/1903/aph_senate_by_division__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1903,aph_house_first_preferences_polling_place,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/FirstPreferencesByPollingPlace?pollingPlace={polling_place}&division={division}&year=1903&electionId=203,data/raw/aph_handbook/1903/aph_house_first_preferences_polling_place__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1903,aph_house_tcp_polling_place,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/TwoCandidatePreferredByPollingPlace?pollingPlace={polling_place}&division={division}&year=1903&electionId=203,data/raw/aph_handbook/1903/aph_house_tcp_polling_place__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1903,aph_senate_polling_place,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByPollingPlace?pollingPlace={polling_place}&division={division}&year=1903&electionId=203,data/raw/aph_handbook/1903/aph_senate_polling_place__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1906,aph_election,primary,"Parliament of Australia, Parliamentary Handbook",both,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=204,data/raw/aph_handbook/1906/aph_election.json,True,
1906,aph_house_candidates,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/Candidates?electionId=204,data/raw/aph_handbook/1906/aph_house_candidates.json,True,
1906,aph_house_divisions,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/Divisions?state=&year=1906,data/raw/aph_handbook/1906/aph_house_divisions.json,True,
1906,aph_house_elected,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/MembersElected?year=1906,data/raw/aph_handbook/1906/aph_house_elected.json,True,
1906,aph_senate_candidates,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/SenateCandidates?year=1906,data/raw/aph_handbook/1906/aph_senate_candidates.json,True,
1906,aph_senate_elected,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/SenatorsElected?year=1906,data/raw/aph_handbook/1906/aph_senate_elected.json,True,
1906,aph_senate_state_statistics,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateStateStatistics?state={state}&year=1906,data/raw/aph_handbook/1906/aph_senate_state_statistics__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1906,aph_senate_by_candidate,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByCandidate?state={state}&year=1906,data/raw/aph_handbook/1906/aph_senate_by_candidate__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1906,aph_senate_by_group,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByGroup?state={state}&year=1906,data/raw/aph_handbook/1906/aph_senate_by_group__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1906,aph_senate_group_quotas,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateGroupQuotas?state={state}&year=1906,data/raw/aph_handbook/1906/aph_senate_group_quotas__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1906,aph_house_division_statistics,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/DivisionStatistics?divisionName={division}&year=1906&electionId=204,data/raw/aph_handbook/1906/aph_house_division_statistics__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1906,aph_house_first_preferences,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/FirstPreferenceCount?divisionName={division}&year=1906&electionId=204,data/raw/aph_handbook/1906/aph_house_first_preferences__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1906,aph_house_first_preferences_vote_type,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/FirstPreferencesByVoteType?divisionName={division}&year=1906&electionId=204,data/raw/aph_handbook/1906/aph_house_first_preferences_vote_type__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1906,aph_house_polling_places,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/PollingPlaces?divisionName={division}&year=1906&electionId=204,data/raw/aph_handbook/1906/aph_house_polling_places__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1906,aph_house_tcp,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/TwoCandidatePreferred?divisionName={division}&year=1906&electionId=204,data/raw/aph_handbook/1906/aph_house_tcp__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1906,aph_senate_by_division,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByDivision?division={division}&year=1906,data/raw/aph_handbook/1906/aph_senate_by_division__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1906,aph_house_first_preferences_polling_place,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/FirstPreferencesByPollingPlace?pollingPlace={polling_place}&division={division}&year=1906&electionId=204,data/raw/aph_handbook/1906/aph_house_first_preferences_polling_place__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1906,aph_house_tcp_polling_place,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/TwoCandidatePreferredByPollingPlace?pollingPlace={polling_place}&division={division}&year=1906&electionId=204,data/raw/aph_handbook/1906/aph_house_tcp_polling_place__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1906,aph_senate_polling_place,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByPollingPlace?pollingPlace={polling_place}&division={division}&year=1906&electionId=204,data/raw/aph_handbook/1906/aph_senate_polling_place__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1910,aph_election,primary,"Parliament of Australia, Parliamentary Handbook",both,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=205,data/raw/aph_handbook/1910/aph_election.json,True,
1910,aph_house_candidates,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/Candidates?electionId=205,data/raw/aph_handbook/1910/aph_house_candidates.json,True,
1910,aph_house_divisions,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/Divisions?state=&year=1910,data/raw/aph_handbook/1910/aph_house_divisions.json,True,
1910,aph_house_elected,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/MembersElected?year=1910,data/raw/aph_handbook/1910/aph_house_elected.json,True,
1910,aph_senate_candidates,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/SenateCandidates?year=1910,data/raw/aph_handbook/1910/aph_senate_candidates.json,True,
1910,aph_senate_elected,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/SenatorsElected?year=1910,data/raw/aph_handbook/1910/aph_senate_elected.json,True,
1910,aph_senate_state_statistics,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateStateStatistics?state={state}&year=1910,data/raw/aph_handbook/1910/aph_senate_state_statistics__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1910,aph_senate_by_candidate,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByCandidate?state={state}&year=1910,data/raw/aph_handbook/1910/aph_senate_by_candidate__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1910,aph_senate_by_group,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByGroup?state={state}&year=1910,data/raw/aph_handbook/1910/aph_senate_by_group__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1910,aph_senate_group_quotas,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateGroupQuotas?state={state}&year=1910,data/raw/aph_handbook/1910/aph_senate_group_quotas__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1910,aph_house_division_statistics,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/DivisionStatistics?divisionName={division}&year=1910&electionId=205,data/raw/aph_handbook/1910/aph_house_division_statistics__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1910,aph_house_first_preferences,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/FirstPreferenceCount?divisionName={division}&year=1910&electionId=205,data/raw/aph_handbook/1910/aph_house_first_preferences__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1910,aph_house_first_preferences_vote_type,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/FirstPreferencesByVoteType?divisionName={division}&year=1910&electionId=205,data/raw/aph_handbook/1910/aph_house_first_preferences_vote_type__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1910,aph_house_polling_places,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/PollingPlaces?divisionName={division}&year=1910&electionId=205,data/raw/aph_handbook/1910/aph_house_polling_places__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1910,aph_house_tcp,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/TwoCandidatePreferred?divisionName={division}&year=1910&electionId=205,data/raw/aph_handbook/1910/aph_house_tcp__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1910,aph_senate_by_division,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByDivision?division={division}&year=1910,data/raw/aph_handbook/1910/aph_senate_by_division__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1910,aph_house_first_preferences_polling_place,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/FirstPreferencesByPollingPlace?pollingPlace={polling_place}&division={division}&year=1910&electionId=205,data/raw/aph_handbook/1910/aph_house_first_preferences_polling_place__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1910,aph_house_tcp_polling_place,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/TwoCandidatePreferredByPollingPlace?pollingPlace={polling_place}&division={division}&year=1910&electionId=205,data/raw/aph_handbook/1910/aph_house_tcp_polling_place__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1910,aph_senate_polling_place,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByPollingPlace?pollingPlace={polling_place}&division={division}&year=1910&electionId=205,data/raw/aph_handbook/1910/aph_senate_polling_place__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1913,aph_election,primary,"Parliament of Australia, Parliamentary Handbook",both,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=206,data/raw/aph_handbook/1913/aph_election.json,True,
1913,aph_house_candidates,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/Candidates?electionId=206,data/raw/aph_handbook/1913/aph_house_candidates.json,True,
1913,aph_house_divisions,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/Divisions?state=&year=1913,data/raw/aph_handbook/1913/aph_house_divisions.json,True,
1913,aph_house_elected,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/MembersElected?year=1913,data/raw/aph_handbook/1913/aph_house_elected.json,True,
1913,aph_senate_candidates,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/SenateCandidates?year=1913,data/raw/aph_handbook/1913/aph_senate_candidates.json,True,
1913,aph_senate_elected,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/SenatorsElected?year=1913,data/raw/aph_handbook/1913/aph_senate_elected.json,True,
1913,aph_senate_state_statistics,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateStateStatistics?state={state}&year=1913,data/raw/aph_handbook/1913/aph_senate_state_statistics__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1913,aph_senate_by_candidate,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByCandidate?state={state}&year=1913,data/raw/aph_handbook/1913/aph_senate_by_candidate__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1913,aph_senate_by_group,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByGroup?state={state}&year=1913,data/raw/aph_handbook/1913/aph_senate_by_group__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1913,aph_senate_group_quotas,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateGroupQuotas?state={state}&year=1913,data/raw/aph_handbook/1913/aph_senate_group_quotas__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1913,aph_house_division_statistics,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/DivisionStatistics?divisionName={division}&year=1913&electionId=206,data/raw/aph_handbook/1913/aph_house_division_statistics__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1913,aph_house_first_preferences,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/FirstPreferenceCount?divisionName={division}&year=1913&electionId=206,data/raw/aph_handbook/1913/aph_house_first_preferences__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1913,aph_house_first_preferences_vote_type,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/FirstPreferencesByVoteType?divisionName={division}&year=1913&electionId=206,data/raw/aph_handbook/1913/aph_house_first_preferences_vote_type__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1913,aph_house_polling_places,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/PollingPlaces?divisionName={division}&year=1913&electionId=206,data/raw/aph_handbook/1913/aph_house_polling_places__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1913,aph_house_tcp,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/TwoCandidatePreferred?divisionName={division}&year=1913&electionId=206,data/raw/aph_handbook/1913/aph_house_tcp__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1913,aph_senate_by_division,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByDivision?division={division}&year=1913,data/raw/aph_handbook/1913/aph_senate_by_division__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1913,aph_house_first_preferences_polling_place,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/FirstPreferencesByPollingPlace?pollingPlace={polling_place}&division={division}&year=1913&electionId=206,data/raw/aph_handbook/1913/aph_house_first_preferences_polling_place__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
